area,perimeter,circularity,eccentricity,solidity,extent,hu_moment_1,hu_moment_2,hu_moment_3,mean_b,mean_g,mean_r,mean_h,mean_s,mean_v,texture_laplacian_var,color_std_b,color_std_g,color_std_r,color_std_hsv,det_confidence,predicted_label
4148.5,254.72792172431946,0.8034296478686199,0.0,0.9953214971209213,0.9543363239015413,0.16598324071111858,0.0002495891705065987,1.1472705835866771e-05,212.4238618524333,216.33830455259027,205.489010989011,77.99803767660912,15.964678178963894,218.5843799058085,143.06210751471352,9.273877265135438,14.540399810142839,12.481834403390497,19.14809455772749,0.791681170463562,Platelets
4731.5,282.18376541137695,0.7466974355795674,0.0,0.9663024609414889,0.8758793039614957,0.16863719398926022,0.000612381015926042,0.00013304612411851375,231.52878739144418,228.44998391765841,228.64458025088453,85.31328401415246,7.455451913798649,233.27275651334836,223.21341914584272,9.723760553816915,14.417693470558978,12.324995733803918,46.93751744632295,0.786612868309021,RBC
13238.0,530.8528124094009,0.5903152403379804,0.0,0.9060917180013689,0.8752396694214876,0.171229843127802,0.0010491510272781217,1.3301453792715021e-05,221.42240717029446,226.56056338028168,223.1720870678617,65.02330345710627,10.478361075544173,228.62522407170292,265.49266602445186,11.407959790176733,10.229003062462775,11.619703314593698,31.818378149472725,0.7806850671768188,WBC
3865.0,254.76955235004425,0.748280304489823,0.0,0.9600099354197715,0.8764172335600907,0.16641011542391193,0.0007648329401565723,6.323353389662004e-05,208.23393213572854,213.70778443113772,206.81796407185627,72.07345309381238,13.610778443113771,216.0319361277445,203.59419912485023,13.44332252333672,17.49518437538683,14.854732259643564,32.825398402634995,0.6426339149475098,RBC
3863.5,258.04162991046906,0.7291405100804735,0.0,0.9773589678725019,0.9453144115488133,0.16808767962968799,0.000137015269806718,9.829110771539407e-06,218.55313588850174,220.470818815331,209.09494773519162,78.15243902439025,19.62848432055749,225.1602787456446,143.70759255102905,12.639181885613953,18.014972055067762,16.94147670692274,25.842482566521852,0.5111638903617859,RBC
3393.5,242.81118249893188,0.7233031385133996,0.0,0.9434250764525994,0.8293010752688172,0.16512051064294167,0.00011965849323222535,0.00012991866486241824,212.26205867727498,214.74440576827448,206.7210343112879,78.68672302337146,15.274490303331675,218.05121829935354,227.01326097986774,13.456320021524043,17.57570291485421,16.10375515242533,30.86987362648137,0.40480393171310425,RBC
15280.5,562.2670253515244,0.607382395237866,0.0,0.9414972273567468,0.9227355072463768,0.17224916219272018,0.0018898086481012764,0.00011217921377060526,215.13868986693961,222.57297850562946,210.99273285568066,70.07932446264074,15.007369498464687,223.09836233367452,152.29003242491075,9.919187671191889,10.05051960610295,10.742108021826294,19.638455589135663,0.3668138086795807,WBC
2867.0,216.0,0.7722004576339109,0.0,1.0,0.9633736559139785,0.17236367864201832,0.0019314599372312019,2.8657728863453694e-33,221.4354609929078,215.93475177304964,204.82836879432622,86.95981087470449,24.957919621749408,225.64586288416075,117.17397773134901,16.70075861338828,26.277038271175343,26.039746831904193,24.816904784537474,0.3571024239063263,Platelets
5394.5,654.9777027368546,0.15801853465301793,0.0,0.5708465608465608,0.5571679405081594,0.3940381815696844,0.0070944529304706,0.00027811791700519474,209.50911300121507,217.74344731817393,211.14910605797604,57.91529248394376,11.297170630098941,218.38500260371464,155.68314888138104,8.606297185945278,8.672490061295171,10.048717624534072,23.788940113251876,0.347359299659729,RBC
4274.0,737.5289995670319,0.09873842128091267,0.0,0.4693608609707885,0.4408003300330033,0.4206010187945233,0.00020728492481803716,0.011408556951490454,209.89226459814694,218.06528765352294,209.36630036630035,63.11915535444947,13.432449903038139,218.98858004740356,181.44805987115575,11.17568593458127,11.855366420259893,12.740420429853602,24.776393265330377,0.3274827301502228,RBC
