area,perimeter,circularity,mean_b,mean_g,mean_r,mean_h,mean_s,mean_v,texture_laplacian_var,det_confidence,predicted_label
8773.0,714.1076458692551,0.21618752386394066,142.7905695039804,107.26199224331496,130.88956929985713,114.65227597468872,75.57460706266585,150.02918963053685,17.451958662910076,0.8898391723632812,WBC
1054.0,130.0,0.7837251258896194,153.82894736842104,153.70394736842104,150.28421052631577,72.67631578947368,35.32236842105263,165.03947368421052,24.498876753826533,0.8347230553627014,Platelets
5536.0,295.3137083053589,0.7976984187530897,137.7667468223978,146.20336654070766,158.04568876674682,34.63620748883545,34.782892476812094,158.17966334592924,16.520227957905668,0.775992214679718,RBC
2009.0,510.79393672943115,0.09676055125689838,140.70848375451263,147.02015643802648,157.86582430806257,48.86161251504212,30.995788206979544,158.17809867629362,15.020187181163836,0.7575958967208862,RBC
2321.0,545.4802285432816,0.09802277134025245,141.8678561471982,152.2865904655701,161.7329244494006,42.62503484806245,33.61918037357123,161.85837747421243,13.293603717630106,0.7518317699432373,RBC
2055.0,499.48022961616516,0.103510661697198,156.53676256902065,168.1438535309503,177.63876780005813,32.2510897994769,31.554489973844813,177.93461203138622,16.287326595093152,0.7175402641296387,RBC
1609.5,462.2670257091522,0.09464877858277683,144.07491721854305,151.34975165562915,161.6912251655629,51.78766556291391,32.63948675496689,162.30256622516555,18.93493604296705,0.6769886612892151,RBC
1732.0,394.8528115749359,0.13960059911960931,146.43784349646688,158.70557445694843,168.25883276629153,37.78434964668934,35.5953938759487,168.7927244176917,41.18981326692435,0.6021367311477661,RBC
2518.0,571.2792179584503,0.09695467138114132,151.2152006831768,164.27554796470255,174.0429832052377,35.027042413891266,34.53287788215201,174.3270708795901,15.700728858481261,0.5741295218467712,RBC
1447.5,355.7817442417145,0.14370143881398006,150.12415584415584,158.63064935064935,169.48155844155843,42.80103896103896,31.66961038961039,169.84155844155845,12.8956451495772,0.5277247428894043,RBC
1292.0,333.8822501897812,0.14564169147773684,143.3642968344577,156.70576024909184,169.09133367929422,41.828749351323296,41.504411001556825,169.3134405812143,17.0179663246439,0.48396143317222595,RBC
1251.0,248.08326029777527,0.25543020517621995,135.83710737764792,148.6428049671293,158.96859021183346,34.184075967859755,38.29875821767714,159.0883856829803,38.394993173703,0.47820037603378296,RBC
1206.5,284.32590079307556,0.18754450448958038,143.25335320417287,156.64157973174366,164.89269746646795,28.093144560357675,34.37779433681073,165.12444113263786,15.402719967626316,0.41996321082115173,RBC
1326.0,296.911687374115,0.1890161016494249,143.91553836234687,156.7472598323662,159.1424887169568,40.304964539007095,27.023855577047065,160.3584784010316,11.516137704672564,0.41367796063423157,RBC
1361.5,333.639609336853,0.15369944585096426,141.58066184074457,152.3453981385729,163.98655635987592,43.04601861427094,37.93174767321614,164.31799379524304,15.266496166655042,0.41052910685539246,RBC
563.5,178.18376541137695,0.223032175106248,129.27338129496403,136.68525179856115,148.1624700239808,45.853717026378895,35.920263788968825,148.5251798561151,13.94925794696663,0.3877944350242615,RBC
1559.5,231.9827550649643,0.3641529557306123,152.61464850938535,165.2892896577107,174.94000736106,35.91166728008833,33.834376150165625,175.21163047478836,15.328351974336107,0.32602429389953613,RBC
